Player,Team,Nationality,Position,Pace,Dribbling,Highpass,Resilience,Shooting,Tackling,Aerial Ability,Saving,Handling,PoolTag
Uriel Antuna,mexico,Mexico,ST,6,2,4,4,5,2,4,0,0,
Casemiro,miami,Brazil,MID,5,3,4,6,3,5,5,0,0,
Dayne St. Clair,miami,Canada,GK,4,2,4,6,0,0,4,5,5,
Federico Redondo,miami,Argentina,MID,6,3,4,4,3,1,5,0,0,
Germán Berterame,miami,Argentina,FWD,4,2,6,5,5,2,0,0,0,
Jordi Alba,miami,Spain,DEF,6,4,5,4,4,4,4,0,0,
Lionel Messi,miami,Argentina,ST,6,5,6,4,5,1,5,0,0,
Luis Suarez,miami,Uruguay,FWD,5,4,6,5,6,2,3,0,0,
Maximiliano Falcón,miami,Uruguay,DEF,4,2,4,5,4,5,4,0,0,
Rodrigo De Paul,miami,Argentina,MID,6,4,5,6,3,4,3,0,0,
Sergio Reguilón,miami,Spain,DEF,5,1,5,4,2,3,3,0,0,
Tomas Aviles,miami,Argentina,DEF,5,2,3,4,2,3,4,0,0,
Andy Najar,nashville,Honduras,DEF,6,1,3,4,2,5,2,0,0,
Brian Schwake,nashville,US,GK,4,2,4,6,0,0,5,5,5,
Cristian Espinoza,nashville,Argentina,FWD,6,4,6,4,5,3,3,0,0,
Daniel Lovitz,nashville,US,DEF,5,5,4,6,2,3,2,0,0,
Edvard Tagseth,nashville,Norway,MID,5,5,5,4,4,2,2,0,0,
Hany Mukhtar,nashville,Germany,MID,6,5,5,5,6,3,1,0,0,
Jeisson Palacios,nashville,Colombia,DEF,4,1,2,5,3,5,6,0,0,
Matthew Corcoran,nashville,US,FWD,4,2,5,4,1,4,3,0,0,
Maxwell Woledzi,nashville,Ghana,DEF,4,1,5,5,2,6,5,0,0,
Patrick Yazbek,nashville,Australia,MID,6,3,3,5,3,2,5,0,0,
Sam Surridge,nashville,England,ST,6,2,4,5,5,3,6,0,0,
Albert Rusnák,seattle,Slovakia,MID,6,5,5,5,3,2,3,0,0,
Alex Roldan,seattle,El Salvador,DEF,5,2,5,6,3,3,4,0,0,
Andrew Thomas,seattle,US,GK,5,2,3,5,0,0,5,4,5,
Cristian Roldan,seattle,US,MID,5,5,6,6,2,5,2,0,0,
Danny Musovski,seattle,US,ST,5,2,4,4,3,3,3,0,0,
Jackson Ragen,seattle,US,DEF,5,3,4,5,1,5,6,0,0,
Jesús Ferreira,seattle,US,MID,4,4,6,4,3,3,1,0,0,
Jordan Morris,seattle,US,FWD,6,3,3,5,5,3,6,0,0,
Kalani Kossa-Rienzi,seattle,US,DEF,4,1,4,4,3,3,5,0,0,
Nouhou Tolo,seattle,Cameroon,DEF,4,2,4,5,1,6,3,0,0,
Paul Rothrock,seattle,US,FWD,5,3,5,6,5,3,3,0,0,
Alvaro Morata,spain,Spain,FWD,5,3,6,5,6,1,4,0,0,
Aymeric Laporte,spain,Spain,DEF,4,1,6,5,1,5,5,0,0,
Dani Carvajal,spain,Spain,DEF,5,2,5,6,1,6,3,0,0,
Fabian Ruiz,spain,Spain,MID,5,5,5,5,5,2,3,0,0,
Lamine Yamal,spain,Spain,FWD,6,5,5,4,6,3,2,0,0,
Marc Cucurella,spain,Spain,DEF,5,3,5,5,3,6,3,0,0,
Nico Williams,spain,Spain,ST,6,6,3,4,4,2,6,0,0,
Pedri,spain,Spain,MID,6,5,6,4,3,3,3,0,0,
Robin Le Normand,spain,Spain,DEF,5,2,4,5,1,5,3,0,0,
Rodri,spain,Spain,MID,5,3,6,6,2,6,2,0,0,
Unai Simon,spain,Spain,GK,4,3,5,6,0,0,4,5,4,
Antonee Robinson,us,US,DEF,5,5,4,5,2,4,3,0,0,
Chris Richards,us,US,DEF,5,1,2,4,1,6,5,0,0,
Christian Pulisic,us,US,FWD,6,5,6,4,5,2,2,0,0,
Folarin Balogun,us,US,ST,5,2,4,4,6,3,6,0,0,
Matt Turner,us,US,GK,4,2,4,6,0,0,5,5,4,
Sergino Dest,us,US,DEF,5,6,6,5,2,4,3,0,0,
Tim Ream,us,US,DEF,4,3,6,6,1,6,4,0,0,
Tim Weah,us,US,FWD,6,3,6,4,6,3,1,0,0,
Tyler Adams,us,US,MID,5,3,5,6,1,6,3,0,0,
Weston McKennie,us,US,MID,5,5,5,4,3,3,5,0,0,
Yunus Musah,us,US,MID,6,5,4,4,3,2,3,0,0,
Jack Sullivan,generic-bench-home,England,GK,3,2,0,4,0,0,5,5,4,
Diego Fernandez,generic-bench-home,Argentina,DEF,4,3,3,4,2,5,3,0,0,
Kwame Mensah,generic-bench-home,Ghana,MID,4,4,5,3,3,3,2,0,0,
Lucas Oliveira,generic-bench-home,Brazil,FWD,5,4,3,3,4,2,3,0,0,
Erik Lindqvist,generic-bench-home,Sweden,ST,5,4,2,3,5,2,3,0,0,
Tomas Novak,generic-bench-away,Czech Republic,GK,3,2,0,4,0,0,5,5,4,
Sipho Dlamini,generic-bench-away,South Africa,DEF,4,3,3,4,2,5,3,0,0,
Matteo Bianchi,generic-bench-away,Italy,MID,4,4,5,3,3,3,2,0,0,
Santiago Ramirez,generic-bench-away,Colombia,FWD,5,4,3,3,4,2,3,0,0,
Ivan Kovac,generic-bench-away,Croatia,ST,5,4,2,3,5,2,3,0,0,
